"","mmsi","name","operator","com_score_reported","compliance score (calculated speed)","total distance (km)","average speed (knots)","average speed calculated (knots)","total distance (nautcal miles)","distance (nautcal miles) over 10 knots","distance (nautcal miles) 0-10 knots","distance (nautcal miles) 10-12 knots","distance (nautcal miles) 12-15 knots","distance (nautcal miles) over 15 knots","number_of_distinct_trips","gt","ship_type","ship_type_ihs","noaa compliance score (reported speed)","noaa compliance score (calculated speed)","grade","noaa_grade"
"82",357155000,"NOT NAMED","NYK Line",100,92.3024459015033,5.3342009,7.15238095238095,6.74340333333333,2.8802391153613,0,2.8802391153613,0,0,0,1,70497,0,"Vehicles Carrier",100,92.3024459015033,"A+","A"
"83",303284000,"NOT NAMED","Ocean Marine Services LLC",100,77.6492686644055,4.9581957,9,7.794502,2.6772124755849,0,2.6772124755849,0,0,0,1,883,0,"Platform Supply Ship",100,77.6492686644055,"A+","A"
"84",367692620,"PACIFIC HORIZON","Pacific Horizon Fishing LLC",100,100,4.3439445,5.805,5.952207,2.3455432403865,0,2.3455432403865,0,0,0,1,147,30,"Fishing Vessel",100,100,"A+","A"
"85",367625810,"VETERAN","Baydelta Navigation Ltd",100,77.5725927482533,3.9006961,6.4625,5.1979175,2.1062081640677,0,2.1062081640677,0,0,0,2,414,31,"Tug",100,77.5725927482533,"A+","A"
"86",367008820,"PACIFIC WARRIOR","Westar Marine Services",100,74.173784744795,3.53794,7.63636363636364,7.81019545454545,1.91033546858,0,1.91033546858,0,0,0,2,387,31,"Tug",100,74.173784744795,"A+","A"
"87",369703000,"OCEAN RELIANCE","Crowley Marine Services Inc",100,100,3.251834442,2.09318181818182,2.05143405454545,1.75585076979899,0,1.75585076979899,0,0,0,1,963,89,"Articulated Pusher Tug",100,100,"A+","A"
"88",367001830,"TERRI L.BRUSCO","Brusco Tug & Barge Inc",100,66.2475505553405,3.006804,7.16666666666667,7.18611166666667,1.623544867428,0,1.623544867428,0,0,0,1,108,32,"Tug",100,66.2475505553405,"A+","A"
"89",371908000,"NOT NAMED","MSC Mediterranean Shipping Co",100,69.3641646016477,2.940651,9.03333333333333,10.1275544444444,1.587825092007,0,1.587825092007,0,0,0,1,94489,0,"Container Ship (Fully Cellular)",100,69.3641646016477,"A+","A"
"90",636017797,"NOT NAMED","Stealth Maritime Corp SA",100,100,2.7463226,4.7,5.005605,1.4828961121282,0,1.4828961121282,0,0,0,1,29597,0,"Chemical/Products Tanker",100,100,"A+","A"
"91",255805867,"NOT NAMED","MSC Mediterranean Shipping Co",100,31.4758196091962,2.533189,9.6375,10.33727125,1.367813132873,0,1.367813132873,0,0,0,2,96816,0,"Container Ship (Fully Cellular)",100,31.4758196091962,"A+","A"
"92",636012630,"ICE FIGHTER","Dynacom Tankers Management Ltd",100,100,2.2225444,3.55,3.26133491666667,1.2000784065908,0,1.2000784065908,0,0,0,3,38832,80,"Crude Oil Tanker",100,100,"A+","A"
"93",374602000,"NOT NAMED","MSC Mediterranean Shipping Co",100,65.6999942997207,2.175332,9.55,9.31539666666667,1.174585740724,0,1.174585740724,0,0,0,1,95497,0,"Container Ship (Fully Cellular)",100,65.6999942997207,"A+","A"
"94",477220800,"NOT NAMED","Cido Shipping HK Co Ltd",100,80.2463115790026,2.1438781,7.325,7.3240025,1.1576019872417,0,1.1576019872417,0,0,0,1,32309,0,"Bulk Carrier",100,80.2463115790026,"A+","A"
"95",351819000,"MSC ALGHERO","MSC Mediterranean Shipping Co",100,16.8716376479536,1.982801,9.5,11.34813,1.070627279557,0,1.070627279557,0,0,0,1,96375,74,"Container Ship (Fully Cellular)",100,16.8716376479536,"A+","A"
"96",311054300,"GLOVIS CARAVEL","Hyundai Glovis Co Ltd",100,100,1.8720519,6.58333333333333,6.12043,1.0108275277683,0,1.0108275277683,0,0,0,1,58767,70,"Vehicles Carrier",100,100,"A+","A"
"97",355813000,"MSC MAXINE","MSC Mediterranean Shipping Co",100,100,1.860099,6.2,6.44906,1.004373475743,0,1.004373475743,0,0,0,1,95514,71,"Container Ship (Fully Cellular)",100,100,"A+","A"
"98",309253000,"NOT NAMED","NYK Line",100,70.4224330216048,1.819318,9.58333333333333,9.16310333333333,0.982353489326,0,0.982353489326,0,0,0,1,57692,0,"Vehicles Carrier",100,70.4224330216048,"A+","A"
"99",636015176,"AQUALEGEND","Unisea Shipping Ltd",100,100,1.79357208,1.73333333333333,1.63084753,0.96845179960056,0,0.96845179960056,0,0,0,2,61237,80,"Crude Oil Tanker",100,100,"A+","A"
"100",366926740,"TIM QUIGG","Harley Marine Services Inc",100,100,1.44284,4.9,3.74682,0.77907155788,0,0.77907155788,0,0,0,1,257,52,"Tug",100,100,"A+","A"
"101",257931000,"NOT NAMED","Sverre Farstad & Co AS",100,80.5074800113511,1.247458,7.75,9.467405,0.673573679306,0,0.673573679306,0,0,0,1,3636,0,"Platform Supply Ship",100,80.5074800113511,"A+","A"
"102",205763000,"NOT NAMED","Tankers UK Agencies Ltd",100,36.3299036002701,1.158302,7.425,8.4712825,0.625433273014,0,0.625433273014,0,0,0,1,154163,0,"Crude Oil Tanker",100,36.3299036002701,"A+","A"
"103",353348000,"NOT NAMED","NYK Line",100,0,0.770173,9.3,10.9148,0.415860302561,0,0.415860302561,0,0,0,1,70497,0,"Vehicles Carrier",100,0,"A+","A"
"104",477444800,"NOT NAMED","Pacific Basin Shipping HK Ltd",100,100,0.637151,7.55,5.02736,0.344034142507,0,0.344034142507,0,0,0,1,32356,0,"Bulk Carrier",100,100,"A+","A"
"105",248896000,"17 FEBRUARY","General National Maritime",100,100,0.49424979,1.65,1.837974435,0.26687363385903,0,0.26687363385903,0,0,0,2,81732,80,"Crude Oil Tanker",100,100,"A+","A"
"106",419001087,"NOT NAMED","Great Eastern Shipping Co Ltd",100,100,0.491673,7.6,8.34232,0.265482278061,0,0.265482278061,0,0,0,1,29967,0,"Chemical/Products Tanker",100,100,"A+","A"
"107",538007379,"NORDIC THUNDER","Blue Fin Tankers Inc",100,100,0.4430009,3,2.75334828,0.2392014369613,0,0.2392014369613,0,0,0,2,81308,89,"Crude Oil Tanker",100,100,"A+","A"
"108",636090747,"NOT NAMED","Penfield Marine LLC",100,100,0.429833,8.4,8.61051,0.232091337181,0,0.232091337181,0,0,0,1,40763,0,"Crude/Oil Products Tanker",100,100,"A+","A"
"109",367702780,"NOT NAMED","Amnav Maritime Corp",100,100,0.252236,10,7.95631,0.136196593852,0.136196593852,0.136196593852,0,0,0,1,169,0,"Tug",100,100,"A+","A"
"110",636018979,"FILIKON","Sun Oil Co of Pennsylvania",100,100,0.09700502,0.1,0.028380225,0.05237853958414,0,0.05237853958414,0,0,0,3,78845,89,"Crude Oil Tanker",100,100,"A+","A"
"111",366938510,"KLIHYAM","Sause Bros Inc",99.9583013465886,81.8333277251441,833.49214319,8.24796905222437,8.37731280580271,450.049917160443,2.605230969902,449.862252405308,0.187664755135,0,0,6,485,32,"Tug",99.9583013465886,81.8333277251441,"A+","A"
