"","operator","ship_type_ihs","n"
"116","Dynacom Tankers Management Ltd","Crude Oil Tanker",4
"117","Eagle Bulk Shipping Inc","Bulk Carrier",2
"118","Eastern Car Liner Ltd","General Cargo Ship",1
"119","Eastern Car Liner Ltd","General Cargo Ship (with Ro-Ro facility)",1
"120","Eastern Car Liner Ltd","Vehicles Carrier",2
"121","Eastern Pacific Shipping Pte","Crude Oil Tanker",3
"122","Edge Yachts Ltd","Yacht",1
"123","Edison Chouest Offshore LLC","Research Survey Vessel",1
"124","Eletson Corp","Chemical/Products Tanker",1
"125","Eletson Corp","Crude Oil Tanker",2
"126","Empire Navigation Inc","Chemical/Products Tanker",1
"127","EUKOR Car Carriers Inc","Vehicles Carrier",24
"128","Euronav NV","Crude Oil Tanker",5
"129","Euronav Ship Management","Crude Oil Tanker",1
"130","Evergreen Marine Corp","Container Ship (Fully Cellular)",40
"131","Exeno Yamamizu Corp","Open Hatch Cargo Ship",1
"132","Fairfield Chemical Carriers","Chemical/Products Tanker",1
"133","Fairfield-Maxwell Services Ltd","Vehicles Carrier",1
"134","Fairport Yacht Support","Yacht",1
"135","Falcon Navigation Corp","Chemical/Products Tanker",1
"136","Far East Shipping & Trading Co","Bulk Carrier",1
"137","Far-East Transport Co Ltd","Bulk Carrier",1
"138","Far-East Transport Co Ltd","Wood Chips Carrier",1
"139","Fifth Engineering Co of CCCC","Hopper, Motor",1
"140","First Marine Service Co Ltd","Open Hatch Cargo Ship",1
"141","FLOPEC","Crude/Oil Products Tanker",1
"142","Formosa Plastics Marine Corp","Chemical/Products Tanker",2
"143","Fortuna Seaside Bulk Carriers","Bulk Carrier",1
"144","Foss Maritime Co","Crew/Supply Vessel",1
"145","Foss Maritime Co","Tug",5
"146","Franco Naviera Co SA","Bulk Carrier",2
"147","Fraser Yachts Florida Inc","Yacht",2
"148","Frontline Ltd","Crude Oil Tanker",1
"149","Furness Withy Australia","Bulk Carrier",2
"150","G2 Ocean AS","General Cargo Ship",4
"151","G2 Ocean AS","Open Hatch Cargo Ship",2
"152","Galliano Marine Service LLC","Tug",2
"153","GB Shipping & Chartering GmbH","General Cargo Ship",1
"154","GENCO","Bulk Carrier",1
"155","Genel Denizcilik Nakliyati AS","Crude Oil Tanker",3
"156","General National Maritime","Crude Oil Tanker",4
"157","Global Feeder Shipping Pte Ltd","Container Ship (Fully Cellular)",1
"158","Global Marine Systems Ltd","Cable Layer",1
"159","Global Marine Systems Ltd","Cable Repair Ship",1
"160","Global Maritime Investment-CYP","Bulk Carrier",1
"161","Go Shipping & Management Inc","Ro-Ro Cargo Ship",1
"162","Golden Energy Management SA","Crude/Oil Products Tanker",2
"163","Golden Gate Bridge","Passenger Ship",1
"164","Golden Ocean Group Ltd","Bulk Carrier",2
"165","Golden Union Maritime Ops SA","Bulk Carrier",1
"166","Goulandris Maritime Inc","Crude/Oil Products Tanker",2
"167","Great Eastern Shipping Co Ltd","Chemical/Products Tanker",2
"168","Great White Fleet Ltd","Container Ship (Fully Cellular)",2
"169","Greathorse Shipping Ltd","Chemical/Products Tanker",1
"170","Greenpeace Council Stichting","Yacht",1
"171","Greger Pacific Marine Inc","Tug",1
"172","Gregg Drilling & Testing","Drilling Ship",1
"173","Grindrod Shipping Pte Ltd","Bulk Carrier",1
"174","Gulf Energy Maritime GEM PJSC","Products Tanker",1
"175","Gulf Offshore Logistics LLC","Platform Supply Ship",1
"176","Hafnia MR Pool Management ApS","Chemical/Products Tanker",1
"177","Hafnia MR Pool Management ApS","Products Tanker",1
"178","Hafnia Pte Ltd","Chemical/Products Tanker",1
"179","Hafnia Pte Ltd","Products Tanker",2
"180","Hainan Haisheng Shipping Co","Bulk Carrier",1
"181","Hakuyo Kisen KK","Bulk Carrier",1
"182","Halifax Holdings Ltd","Yacht",1
"183","Hamburg Sudamerikanische","Container Ship (Fully Cellular)",6
"184","Handytankers K/S","Chemical/Products Tanker",1
"185","Handytankers K/S","Products Tanker",1
"186","Hansa Tankers AS","Chemical/Products Tanker",1
"187","Hapag-Lloyd AG","Container Ship (Fully Cellular)",21
"188","Harbor Breeze Corp","Passenger Ship",3
"189","Harley Marine Services Inc","Articulated Pusher Tug",1
"190","Harley Marine Services Inc","Tug",1
"191","Hartree Partners LP","Products Tanker",1
"192","Harvey Gulf Intl Marine LLC","Platform Supply Ship",1
"193","Hayama Senpaku KK","Bulk Carrier",2
"194","Hill Robinson Intl-USA","Yacht",1
"195","HMC Shipmanagement Co Ltd","Bulk Carrier",1
"196","Hoegh Autoliners Management AS","Vehicles Carrier",4
"197","Holland America Line NV","Passenger/Cruise",4
"198","Hornbeck Offshore Services LLC","Platform Supply Ship",1
"199","Hornblower Cruises & Events","Passenger Ship",1
"200","Hotel Whiskey LLC","Yacht",1
"201","Hsin Chien Marine Co Ltd-CHT","Bulk Carrier",3
