mmsi,shiptype,operator,year,cooperation_score,coop_score,grade,total_distance_km_under_10,percent_under_10_knots,total_distance_km_btwn_10_12,percent_10_12_knots,total_distance_km_btwn_12_15,percent_12_15_knots,total_distance_km_over_15,percent_over_15_knots,total_distance_km,total_distance_km_weird,avg_speed_knots,max_speed_knots,min_speed_knots,max_implied_speed_knots,min_implied_speed_knots,max_final_calculated_speed_knots,min_final_calculated_speed_knots,max_final_lenient_speed_knots,min_final_lenient_speed_knots
238301000,Chemical/Products Tanker,Champion Tankers AS,2017,14.40%,14.4,F,25.8,14.40%,3.9,2.20%,76.6,42.80%,72,40.30%,178.8,0,14,13.6,12.4,72.843,0,49.833,0,13.468,0
354848000,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,14.40%,14.4,F,156.7,14.40%,153.6,14.10%,400.7,36.70%,382.5,35%,1091.7,0,13.6,20.5,8.3,33.19,0,33.19,0,20.5,0
372348000,Bulk Carrier,Mitsui OSK Lines Ltd,2017,14.40%,14.4,F,50,14.40%,78.9,22.70%,140.9,40.50%,77.7,22.30%,347.7,0,12.4,13.1,11.1,121.977,0,32.611,0,13,0
210857000,Products Tanker,Straits Tankers Pte Ltd,2017,14.40%,14.4,F,25.5,14.40%,59.3,33.40%,51.6,29%,41.6,23.40%,177.7,0,12,12.4,9.4,73.877,0,46.159,0,12.375,0
538003993,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,14.40%,14.4,F,57.6,14.40%,19.9,5%,24.5,6.10%,297.7,74.50%,399.8,0,16.5,102.3,9.2,193.16,0,28.319,0,23.5,0
477542400,Chemical/Products Tanker,Diamond S Management LLC,2019,14.40%,14.4,F,60.3,14.40%,144.6,34.60%,140.4,33.60%,1.7,0.40%,417.7,0,0.4,102.3,0,30.943,0,30.943,0,13.347,0
538001657,Vehicles Carrier,Fairfield-Maxwell Services Ltd,2018,14.30%,14.3,F,284.6,14.30%,305.2,15.40%,523.5,26.40%,869.8,43.80%,1985.5,0,13.5,18.3,2.2,75.305,0,48.408,0,18.3,0
370587000,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,14.30%,14.3,F,255.8,14.30%,420.8,23.50%,661.4,36.90%,454.8,25.40%,1793.8,0,12.8,18.6,7.1,64.171,0,56.373,0,18.5,0
266283000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2017,14.30%,14.3,F,24.7,14.30%,87.5,50.60%,52.5,30.40%,8.2,4.70%,172.8,0,11.4,12.4,9.6,22.285,0,22.285,0,12.4,0
566879000,Container Ship (Fully Cellular),APL LLC,2018,14.30%,14.3,F,10.7,14.30%,39,52%,11.7,15.60%,13.7,18.30%,75,0,11.5,11.9,10.9,25.756,0,25.756,0,11.9,0
372608000,Products Tanker,Hartree Partners LP,2019,14.30%,14.3,F,94.5,14.30%,311.3,47%,243.9,36.90%,7.7,1.20%,661.7,0,6.1,14,0,20.383,0,20.383,0,14,0
249515000,Container Ship (Fully Cellular),Evergreen Marine Corp,2018,14.20%,14.2,F,52.3,14.20%,54.2,14.70%,123.8,33.60%,139.1,37.70%,368.5,0,12.9,16.7,5.1,34.751,0,34.751,0,16.6,0
538004203,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,14.20%,14.2,F,61.1,14.20%,24.5,5.70%,170,39.50%,174.7,40.60%,430.5,0,13.3,19.1,6,38.143,0,38.143,0,19.1,0
373398000,Vehicles Carrier,EUKOR Car Carriers Inc,2018,14.20%,14.2,F,25.1,14.20%,17.6,10%,116.5,65.90%,18.6,10.50%,176.8,0,12,16.9,5.5,161.169,0,35.508,0,16.9,0
235102677,Container Ship (Fully Cellular),Evergreen Marine Corp,2018,14.10%,14.1,F,111.4,14.10%,97.3,12.30%,20.8,2.60%,561.1,71.20%,788.5,0,15.9,22.9,9.6,126.757,0,58.417,0,22.9,0
367578740,Container Ship (Fully Cellular),APL LLC,2019,14.10%,14.1,F,380.7,14.10%,848.9,31.50%,176.6,6.60%,1239.4,46%,2694.7,0,4.5,22.1,0,180.894,0,31.913,0,22.1,0
311943000,Products Tanker,Gulf Energy Maritime GEM PJSC,2017,14.10%,14.1,F,24.8,14.10%,23.4,13.30%,62,35.30%,65.4,37.20%,175.8,0,13.6,13.6,11.5,51.17,0,51.17,0,13.5,0
370558000,Chemical/Products Tanker,Odfjell Asia Pte Ltd,2019,14.10%,14.1,F,81.5,14.10%,309.9,53.70%,182.3,31.60%,1.5,0.30%,576.9,0,7.4,13.8,0,15.203,0,15.203,0,13.8,0
